lat|lon
''51,885857''|''-2,88582''
''53,570026''|''-0,064138''
''51,559266''|''-0,223089''
''53,963692''|''-1,079309''
''52,449601''|''-1,76802''
''51,48384''|''-2,438969''
''51,643827''|''-2,673607''
''54,048151''|''-2,803827''
''53,832697''|''-1,802437''
''53,388873''|''-1,441362''
''51,263797''|''1,250896''
''53,093643''|''-2,458798''
''52,255082''|''-0,802614''
''54,568303''|''-1,227743''
''53,563107''|''-0,626424''
''54,452125''|''-6,345816''
''52,768586''|''-1,204953''
''51,905654''|''-2,08205''
''51,250736''|''-1,090292''
''52,803144''|''-1,378555''
''52,190542''|''0,129957''
''52,965436''|''-1,136089''
''51,284118''|''-0,964052''
''54,309705''|''-7,41236''
''53,055721''|''-0,494523''
''51,404778''|''-0,292849''
''51,537815''|''-3,673311''
''56,13338''|''-3,814628''
''52,944269''|''-1,504724''
''51,507577''|''-0,141781''
''55,095644''|''-1,611475''
''51,464192''|''-3,167451''
''52,256771''|''-0,073835''
''51,033106''|''-2,946541''
''53,134997''|''-1,152842''
''52,522406''|''1,505484''
''51,245291''|''-0,582318''
''51,510743''|''-0,021995''
''53,70535''|''-1,864218''
''53,509583''|''-2,21661''
''51,566371''|''0,05444''
''51,403615''|''-2,578078''
''57,372512''|''-2,089839''
''53,830844''|''-2,600253''
''51,76123''|''-0,501866''
''51,51327''|''-3,161111''
''50,676279''|''-1,337607''
''50,834529''|''-0,38824''
''51,596124''|''-1,137''
''50,988315''|''-0,09299''
''53,784913''|''-1,375985''
''52,587011''|''-0,268075''
''52,781196''|''0,031179''
''51,538425''|''-0,103278''
''52,887013''|''-1,454862''
''52,755876''|''-3,857867''
''53,480226''|''-1,229658''
''53,510805''|''-2,244027''
''53,407518''|''-2,607437''
''51,829392''|''-2,269263''
''55,898739''|''-3,073741''
''51,570025''|''-0,787552''
''52,389473''|''-1,504121''
''51,706865''|''-4,097359''
''52,515389''|''-1,974596''
''51,392206''|''-2,833204''
''50,855797''|''-3,393348''
''52,441464''|''-2,844198''
''54,508004''|''-6,028642''
''54,002427''|''-1,522386''
''51,435945''|''0,101329''
''51,413643''|''-1,260248''
''51,394257''|''-0,200267''
''50,887407''|''-1,043944''
''50,684566''|''-3,248382''
''51,632956''|''-0,099554''
''51,771747''|''0,093946''
''54,756029''|''-6,887517''
''53,854049''|''-1,775322''
''50,933596''|''-1,418746''
''50,48955''|''-5,020718''
''50,365584''|''-4,105463''
''57,537477''|''-2,95771''
''53,660248''|''-2,977653''
''50,160944''|''-5,07609''
''51,586055''|''-0,567133''
''51,425487''|''-0,062561''
''51,736676''|''-1,654559''
''52,962075''|''-2,111584''
''51,86561''|''0,561841''
''51,665551''|''-3,828154''
''53,462444''|''-1,974416''
''52,382937''|''-1,514993''
''52,600558''|''-2,133398''
''51,517133''|''-0,134244''
''50,788739''|''0,058466''
''50,32996''|''-4,090328''
''54,002427''|''-1,522386''
''53,513973''|''-0,097644''
''57,599734''|''-2,345165''
''53,404065''|''-2,364981''
''56,377451''|''-2,889283''
''52,285855''|''-0,610992''
''52,53686''|''-0,231624''
''51,271596''|''-1,108774''
''51,238538''|''-2,305804''
''51,371019''|''-0,227341''
''54,443082''|''-5,65757''
''53,765408''|''-1,081133''
''52,638616''|''-0,427131''
''53,747834''|''-0,285942''
''51,407729''|''-3,487489''
''52,538172''|''-1,520333''
''51,515666''|''-0,135284''
''52,72576''|''-1,375021''
''52,581884''|''-2,148197''
''57,69655''|''-4,245101''
''51,44537''|''-0,1178''
''51,121982''|''-0,008895''
''51,513643''|''-0,02651''
''53,562252''|''-2,528549''
''53,464009''|''-2,684355''
''53,592882''|''-2,169944''
''53,689065''|''-1,292345''
''51,427505''|''-0,444896''
''56,409287''|''-5,469034''
''51,38304''|''0,549338''
''53,797683''|''-1,82841''
''51,12426''|''-2,329536''
''51,124435''|''1,314009''
''53,802045''|''-2,242819''
''55,086584''|''-1,583661''
''55,772968''|''-4,342295''
''52,301752''|''-0,715165''
''52,474578''|''-1,888067''
''53,960008''|''-1,084206''
''51,496734''|''-0,212513''
''51,540458''|''0,721606''
''50,913279''|''-1,430976''
''51,522852''|''-0,632036''
''52,610234''|''1,300646''
''55,064803''|''-1,489534''
''51,757547''|''-1,263989''
''52,846032''|''0,50817''
''53,645674''|''-1,729128''
''53,081756''|''-2,400076''
''53,559722''|''-2,205197''
''51,501621''|''-2,492128''
''55,437513''|''-4,651193''
''54,598606''|''-7,296466''
''50,947059''|''-2,615511''
''55,884731''|''-3,628027''
''52,572729''|''-2,152967''
''51,507675''|''-0,504664''
''52,580588''|''-1,822539''
''55,76725''|''-4,209455''
''56,468803''|''-2,974603''
''55,8331''|''-4,395945''
''51,614647''|''-1,864587''
''52,401771''|''-2,270591''
''53,533266''|''-2,179692''
''51,535783''|''-0,392359''
''50,4763''|''-4,977457''
''53,235468''|''-1,43139''
''53,521927''|''-2,3326''
''55,127597''|''-1,506784''
''53,601118''|''-2,147159''
''51,49514''|''-1,096543''
''51,619109''|''-3,958941''
''55,698739''|''-3,622735''
''53,818782''|''-3,051657''
''51,641039''|''-0,095603''
''51,884832''|''-0,190489''
''51,798573''|''-0,401477''
''53,439357''|''-2,221205''
''52,249669''|''-0,900803''
''52,628811''|''-1,963894''
''54,569624''|''-1,240649''
''51,296604''|''0,949676''
''53,422052''|''-3,036963''
''52,467633''|''-1,913491''
''52,746887''|''-1,479514''
''51,526398''|''-0,10584''
''51,120455''|''-0,876857''
''53,797635''|''-1,538277''
''51,631713''|''-0,376847''
''52,193037''|''-2,030954''
''52,54655''|''-2,045891''
''51,350983''|''-1,982332''
''53,393659''|''-2,93081''
''51,471283''|''-1,037509''
''54,597248''|''-5,910656''
''52,587421''|''-1,186419''
''51,936666''|''1,280693''
''51,124095''|''-0,173003''
''50,154393''|''-5,068576''
''51,519688''|''-0,121397''
''53,482624''|''-2,266424''
''51,415598''|''-0,771207''
''53,5231''|''-2,673376''
''50,882209''|''-1,263461''
''50,519027''|''-3,597766''
''51,068631''|''-1,343542''
''52,402271''|''-0,7456''
''51,516244''|''-0,395727''
''52,639322''|''-1,152014''
''54,738529''|''-1,669983''
''52,422981''|''-1,502664''
''55,01269''|''-1,51312''
''50,937765''|''0,791363''
''51,522757''|''0,58744''
''53,600745''|''-2,586934''
''54,857505''|''-1,607784''
''52,423258''|''-0,798681''
''52,576073''|''-0,246974''
''54,225806''|''-1,513816''
''53,599274''|''-1,454246''
''51,49476''|''-0,050739''
''54,604095''|''-1,566521''
''52,538556''|''-0,301346''
''51,593551''|''-3,774153''
''55,953994''|''-3,16909''
''53,807319''|''-1,524818''
''51,214399''|''-0,801697''
''53,821136''|''-1,318441''
''52,596075''|''-2,011265''
''51,391252''|''-1,319377''
''52,672761''|''-1,92517''
''51,532924''|''-0,635252''
''52,659426''|''-2,437663''
''52,41116''|''-4,06727''
''51,363584''|''-0,441288''
''55,06293''|''-2,705975''
''51,245291''|''-0,582318''
''51,757762''|''0,117628''
''52,887449''|''-4,42011''
''52,49542''|''-1,873152''
''51,568258''|''-0,300137''
''51,470361''|''-0,458471''
''51,422725''|''-0,318228''
''53,712849''|''-2,700873''
''50,722387''|''-1,124911''
''51,436059''|''-0,788037''
''52,058557''|''1,156191''
''53,183142''|''-3,418657''
''54,705476''|''-2,787693''
''52,570782''|''0,819745''
''53,258383''|''-2,509938''
''52,523365''|''-2,008048''
''51,735236''|''-3,126331''
''51,722497''|''-0,021888''
''50,873078''|''0,015942''
''50,776192''|''-1,544684''
''51,940205''|''-2,052394''
''53,308617''|''-1,482196''
''54,626418''|''-6,181966''
''51,585958''|''-0,284138''
''51,240936''|''0,556114''
''52,302571''|''-1,92797''
''53,725282''|''-1,572029''
''54,378753''|''-7,460266''
''53,254927''|''-2,923283''
''51,449384''|''-0,170184''
''53,545384''|''-2,90341''
''53,754364''|''-2,708738''
''51,271459''|''-0,838704''
''51,543756''|''-2,514862''
''51,529377''|''-0,446892''
''50,545717''|''-3,49576''
''52,245572''|''-0,257584''
''52,479133''|''-2,079106''
''50,691215''|''-4,21846''
''53,594194''|''-0,818372''
''57,729088''|''-4,193218''
''51,548279''|''-2,415116''
''52,467374''|''-1,859808''
''53,389631''|''-2,607242''
''52,980749''|''-1,200976''
''50,983742''|''-3,232583''
''52,041485''|''1,105472''
''50,37371''|''-4,137975''
''51,908622''|''-0,207895''
''53,382395''|''-2,86025''
''51,617931''|''-3,942683''
''52,638941''|''-2,448155''
''51,586515''|''-1,809155''
''0,0''|''0,0''
''53,224065''|''-0,545233''
''50,771453''|''0,296425''
''53,75185''|''-1,876807''
''55,970114''|''-4,585736''
''57,648255''|''-3,319733''
''50,39979''|''-4,486617''
''51,965434''|''1,352002''
''53,14384''|''-2,361708''
''52,980651''|''-2,133496''
''52,483945''|''1,629262''
''54,37871''|''-6,67296''
''51,323813''|''-2,375083''
''53,215992''|''-2,441923''
''53,954752''|''-1,070393''
''51,951883''|''0,190214''
''53,422458''|''-2,513314''
''52,392504''|''-2,25387''
''53,403392''|''-2,99349''
''54,996786''|''-7,339231''
''51,408881''|''-0,305378''
''50,808172''|''-1,141093''
''50,960171''|''-3,166803''
''51,604426''|''-3,413046''
''50,766647''|''-2,013036''
''55,945246''|''-2,953231''
''50,925449''|''-1,308156''
''51,546167''|''-0,08663''
''50,823959''|''-1,888771''
''52,480887''|''-1,90572''
''51,664861''|''-3,194393''
''53,367023''|''-0,006694''
''57,669364''|''-2,978704''
''54,690756''|''-6,044683''
''51,400829''|''0,486201''
''53,759604''|''-0,434271''
''52,845763''|''-1,351518''
''51,310214''|''0,902144''
''51,41448''|''0,45254''
''55,840863''|''-4,239425''
''52,171047''|''1,059217''
''50,870676''|''-1,408188''
''51,726504''|''-2,198548''
''52,243689''|''0,38894''
''52,245285''|''-0,898231''
''57,533824''|''-2,462822''
''53,166435''|''-2,199275''
''50,773659''|''-2,599219''
''51,79678''|''-1,464345''
''52,632283''|''-1,124859''
''51,474146''|''-0,082791''
''51,946266''|''-2,066863''
''51,306027''|''-2,502168''
''51,454192''|''-0,122288''
''52,209345''|''0,148231''
''53,596086''|''-1,285695''
''55,847984''|''-4,051746''
''51,339913''|''1,405827''
''53,384272''|''-1,500402''
''53,129412''|''-3,276301''
''53,775228''|''-2,756887''
''54,596264''|''-7,046255''
''54,522095''|''-1,550751''
''51,617044''|''0,430077''
''54,567952''|''-1,32717''
''53,743595''|''-1,599256''
''53,605283''|''-1,80436''
''54,548618''|''-1,254581''
''52,778914''|''-1,200792''
''53,421537''|''-2,988481''
''51,573565''|''-0,337301''
''54,889846''|''-2,939565''
''52,103782''|''-4,699674''
''51,374695''|''-2,361348''
''51,481575''|''-3,173598''
''56,184676''|''-3,124232''
''55,02878''|''-1,44098''
